"DateAndTime","OS_Rm253 (Bloomberg-2 East-Study 253) Occupancy","",
"2016-10-05 06:50:17","1","",
"2016-10-05 06:51:28","1","",
"2016-10-05 06:52:38","1","",
"2016-10-05 06:53:46","1","",
"2016-10-05 06:54:53","1","",
"2016-10-05 06:56:02","1","",
"2016-10-05 06:58:17","0","",
"2016-10-05 06:58:50","1","",
"2016-10-05 07:01:04","0","",
"2016-10-05 07:01:07","1","",
"2016-10-05 07:02:27","1","",
"2016-10-05 07:03:35","1","",
"2016-10-05 07:04:53","1","",
"2016-10-05 07:06:16","1","",
"2016-10-05 07:07:25","1","",
"2016-10-05 07:08:37","1","",
"2016-10-05 07:09:44","1","",
"2016-10-05 07:11:07","1","",
"2016-10-05 07:12:28","1","",
"2016-10-05 07:13:39","1","",
"2016-10-05 07:14:58","1","",
"2016-10-05 07:16:05","1","",
"2016-10-05 07:17:13","1","",
"2016-10-05 07:18:21","1","",
"2016-10-05 07:20:36","0","",
"2016-10-05 07:32:59","0","",
"2016-10-05 07:45:20","1","",
"2016-10-05 07:46:46","1","",
"2016-10-05 07:47:57","1","",
"2016-10-05 07:49:05","1","",
"2016-10-05 07:50:30","1","",
"2016-10-05 07:52:08","1","",
"2016-10-05 07:53:19","1","",
"2016-10-05 07:54:30","1","",
"2016-10-05 07:55:39","1","",
"2016-10-05 07:56:47","1","",
"2016-10-05 07:58:13","1","",
"2016-10-05 07:59:21","1","",
"2016-10-05 08:00:46","1","",
"2016-10-05 08:01:58","1","",
"2016-10-05 08:03:26","1","",
"2016-10-05 08:04:34","1","",
"2016-10-05 08:05:48","1","",
"2016-10-05 08:06:58","1","",
"2016-10-05 08:10:33","1","",
"2016-10-05 08:11:41","1","",
"2016-10-05 08:12:49","1","",
"2016-10-05 08:13:57","1","",
"2016-10-05 08:15:05","1","",
"2016-10-05 08:16:12","1","",
"2016-10-05 08:17:21","1","",
"2016-10-05 08:18:30","1","",
"2016-10-05 08:19:44","1","",
"2016-10-05 08:20:55","1","",
"2016-10-05 08:22:04","1","",
"2016-10-05 08:23:12","1","",
"2016-10-05 08:24:20","1","",
"2016-10-05 08:25:29","1","",
"2016-10-05 08:26:37","1","",
"2016-10-05 08:27:48","1","",
"2016-10-05 08:28:57","1","",
"2016-10-05 08:30:05","1","",
"2016-10-05 08:31:14","1","",
"2016-10-05 08:32:22","1","",
"2016-10-05 08:33:30","1","",
"2016-10-05 08:34:38","1","",
"2016-10-05 08:35:47","1","",
"2016-10-05 08:36:55","1","",
"2016-10-05 08:38:03","1","",
"2016-10-05 08:39:12","1","",
"2016-10-05 08:40:19","1","",
"2016-10-05 08:41:28","1","",
"2016-10-05 08:42:39","1","",
"2016-10-05 08:44:55","0","",
"2016-10-05 08:51:18","1","",
"2016-10-05 08:53:33","0","",
"2016-10-05 09:05:57","0","",
"2016-10-05 09:18:21","0","",
"2016-10-05 09:30:23","1","",
"2016-10-05 09:32:38","0","",
"2016-10-05 09:45:02","0","",
"2016-10-05 09:57:26","0","",
"2016-10-05 10:09:49","0","",
"2016-10-05 10:22:14","0","",
"2016-10-05 10:34:38","0","",
"2016-10-05 10:47:02","0","",
"2016-10-05 10:55:20","1","",
"2016-10-05 10:57:36","0","",
"2016-10-05 11:08:05","1","",
"2016-10-05 11:10:13","1","",
"2016-10-05 11:12:29","0","",
"2016-10-05 11:13:15","1","",
"2016-10-05 11:15:30","0","",
"2016-10-05 11:27:55","0","",
"2016-10-05 11:40:19","0","",
"2016-10-05 11:52:45","0","",
"2016-10-05 12:05:11","0","",
"2016-10-05 12:12:21","1","",
"2016-10-05 12:14:37","0","",
"2016-10-05 12:27:02","0","",
"2016-10-05 12:32:04","1","",
"2016-10-05 12:33:12","1","",
"2016-10-05 12:35:25","1","",
"2016-10-05 12:37:14","1","",
"2016-10-05 12:38:44","1","",
"2016-10-05 12:39:52","1","",
"2016-10-05 12:41:04","1","",
"2016-10-05 12:42:12","1","",
"2016-10-05 12:43:20","1","",
"2016-10-05 12:44:39","1","",
"2016-10-05 12:45:47","1","",
"2016-10-05 12:46:55","1","",
"2016-10-05 12:48:03","1","",
"2016-10-05 12:49:11","1","",
"2016-10-05 12:50:19","1","",
"2016-10-05 12:51:28","1","",
"2016-10-05 12:52:36","1","",
"2016-10-05 12:53:47","1","",
"2016-10-05 12:55:16","1","",
"2016-10-05 12:56:41","1","",
"2016-10-05 12:58:22","1","",
"2016-10-05 12:59:50","1","",
"2016-10-05 13:01:46","1","",
"2016-10-05 13:03:15","1","",
"2016-10-05 13:05:31","0","",
"2016-10-05 13:05:56","1","",
"2016-10-05 13:07:09","1","",
"2016-10-05 13:08:24","1","",
"2016-10-05 13:09:38","1","",
"2016-10-05 13:10:47","1","",
"2016-10-05 13:11:55","1","",
"2016-10-05 13:13:02","1","",
"2016-10-05 13:14:13","1","",
"2016-10-05 13:15:43","1","",
"2016-10-05 13:17:15","1","",
"2016-10-05 13:18:26","1","",
"2016-10-05 13:19:34","1","",
"2016-10-05 13:21:09","1","",
"2016-10-05 13:22:26","1","",
"2016-10-05 13:24:42","1","",
"2016-10-05 13:25:57","1","",
"2016-10-05 13:27:27","1","",
"2016-10-05 13:29:43","0","",
"2016-10-05 13:30:25","1","",
"2016-10-05 13:31:33","1","",
"2016-10-05 13:32:55","1","",
"2016-10-05 13:34:19","1","",
"2016-10-05 13:35:35","1","",
"2016-10-05 13:36:56","1","",
"2016-10-05 13:38:05","1","",
"2016-10-05 13:39:29","1","",
"2016-10-05 13:40:41","1","",
"2016-10-05 13:41:49","1","",
"2016-10-05 13:42:57","1","",
"2016-10-05 13:44:16","1","",
"2016-10-05 13:45:54","1","",
"2016-10-05 13:47:02","1","",
"2016-10-05 13:48:22","1","",
"2016-10-05 13:49:38","1","",
"2016-10-05 13:50:48","1","",
"2016-10-05 13:51:56","1","",
"2016-10-05 13:54:11","0","",
"2016-10-05 13:54:56","1","",
"2016-10-05 13:57:01","1","",
"2016-10-05 13:58:09","1","",
"2016-10-05 13:59:17","1","",
"2016-10-05 14:00:41","1","",
"2016-10-05 14:02:47","1","",
"2016-10-05 14:03:57","1","",
"2016-10-05 14:06:12","0","",
"2016-10-05 14:07:17","1","",
"2016-10-05 14:08:48","1","",
"2016-10-05 14:10:00","1","",
"2016-10-05 14:11:10","1","",
"2016-10-05 14:13:25","0","",
"2016-10-05 14:14:28","1","",
"2016-10-05 14:16:44","0","",
"2016-10-05 14:17:47","1","",
"2016-10-05 14:19:08","1","",
"2016-10-05 14:20:16","1","",
"2016-10-05 14:21:24","1","",
"2016-10-05 14:22:52","1","",
"2016-10-05 14:24:00","1","",
"2016-10-05 14:25:24","1","",
"2016-10-05 14:26:34","1","",
"2016-10-05 14:27:50","1","",
"2016-10-05 14:29:07","1","",
"2016-10-05 14:30:14","1","",
"2016-10-05 14:31:30","1","",
"2016-10-05 14:32:38","1","",
"2016-10-05 14:33:49","1","",
"2016-10-05 14:36:05","0","",
"2016-10-05 14:39:48","1","",
"2016-10-05 14:42:04","0","",
"2016-10-05 14:42:37","1","",
"2016-10-05 14:43:47","1","",
"2016-10-05 14:46:02","0","",
"2016-10-05 14:46:07","1","",
"2016-10-05 14:48:22","0","",
"2016-10-05 14:49:56","1","",
"2016-10-05 14:53:27","0","",
"2016-10-05 14:55:45","1","",
"2016-10-05 14:58:11","1","",
"2016-10-05 14:59:22","1","",
"2016-10-05 15:00:30","1","",
"2016-10-05 15:03:57","1","",
"2016-10-05 15:05:04","1","",
"2016-10-05 15:06:43","1","",
"2016-10-05 15:10:29","0","",
"2016-10-05 15:10:40","1","",
"2016-10-05 15:13:32","1","",
"2016-10-05 15:17:22","0","",
"2016-10-05 15:17:48","1","",
"2016-10-05 15:19:13","1","",
"2016-10-05 15:20:22","1","",
"2016-10-05 15:21:34","1","",
"2016-10-05 15:22:42","1","",
"2016-10-05 15:23:55","1","",
"2016-10-05 15:26:10","0","",
"2016-10-05 15:26:33","1","",
"2016-10-05 15:28:07","1","",
"2016-10-05 15:30:23","0","",
"2016-10-05 15:30:53","1","",
"2016-10-05 15:32:03","1","",
"2016-10-05 15:33:50","1","",
"2016-10-05 15:34:59","1","",
"2016-10-05 15:36:40","1","",
"2016-10-05 15:38:56","0","",
