"DateAndTime","OS_Rm353 (Bloomberg-3-Study 353) Occupancy","",
"2016-10-05 17:56:47","0","",
"2016-10-05 18:05:52","0","",
"2016-10-05 18:14:58","0","",
"2016-10-05 18:24:04","0","",
"2016-10-05 18:33:10","0","",
"2016-10-05 18:42:15","0","",
"2016-10-05 18:51:21","0","",
"2016-10-05 19:00:26","0","",
"2016-10-05 19:09:32","0","",
"2016-10-05 19:14:59","1","",
"2016-10-05 19:15:48","1","",
"2016-10-05 19:17:27","0","",
"2016-10-05 19:18:03","1","",
"2016-10-05 19:19:42","0","",
"2016-10-05 19:21:37","1","",
"2016-10-05 19:22:41","1","",
"2016-10-05 19:24:20","0","",
"2016-10-05 19:26:27","1","",
"2016-10-05 19:27:24","1","",
"2016-10-05 19:29:03","0","",
"2016-10-05 19:30:41","1","",
"2016-10-05 19:32:20","0","",
"2016-10-05 19:33:45","1","",
"2016-10-05 19:35:24","0","",
"2016-10-05 19:36:52","1","",
"2016-10-05 19:38:07","1","",
"2016-10-05 19:39:36","1","",
"2016-10-05 19:40:59","1","",
"2016-10-05 19:41:51","1","",
"2016-10-05 19:42:40","1","",
"2016-10-05 19:44:20","0","",
"2016-10-05 19:49:15","1","",
"2016-10-05 19:50:12","1","",
"2016-10-05 19:51:02","1","",
"2016-10-05 19:52:01","1","",
"2016-10-05 19:52:58","1","",
"2016-10-05 19:53:47","1","",
"2016-10-05 19:54:42","1","",
"2016-10-05 19:55:33","1","",
"2016-10-05 19:57:12","0","",
"2016-10-05 19:57:46","1","",
"2016-10-05 19:59:25","0","",
"2016-10-05 20:00:06","1","",
"2016-10-05 20:01:27","1","",
"2016-10-05 20:02:21","1","",
"2016-10-05 20:04:00","0","",
"2016-10-05 20:06:21","1","",
"2016-10-05 20:07:21","1","",
"2016-10-05 20:09:00","0","",
"2016-10-05 20:09:27","1","",
"2016-10-05 20:10:45","1","",
"2016-10-05 20:11:49","1","",
"2016-10-05 20:12:58","1","",
"2016-10-05 20:14:37","0","",
"2016-10-05 20:15:45","1","",
"2016-10-05 20:16:38","1","",
"2016-10-05 20:17:29","1","",
"2016-10-05 20:18:50","1","",
"2016-10-05 20:19:43","1","",
"2016-10-05 20:20:53","1","",
"2016-10-05 20:21:54","1","",
"2016-10-05 20:22:50","1","",
