"DateAndTime","OS_Corr357 (Bloomberg-3-corridor 300E) Occupancy","",
"2016-08-29 12:02:57","0","",
"2016-08-29 12:14:19","0","",
"2016-08-29 12:24:09","1","",
"2016-08-29 12:26:13","0","",
"2016-08-29 12:28:37","1","",
"2016-08-29 12:30:16","1","",
"2016-08-29 12:32:20","0","",
"2016-08-29 12:33:15","1","",
"2016-08-29 12:34:55","1","",
"2016-08-29 12:36:00","1","",
"2016-08-29 12:38:04","0","",
"2016-08-29 12:38:17","1","",
"2016-08-29 12:39:20","1","",
"2016-08-29 12:41:24","0","",
"2016-08-29 12:43:17","1","",
"2016-08-29 12:45:07","1","",
"2016-08-29 12:47:11","0","",
"2016-08-29 12:47:45","1","",
"2016-08-29 12:49:49","0","",
"2016-08-29 12:50:09","1","",
"2016-08-29 12:52:13","0","",
"2016-08-29 12:55:00","1","",
"2016-08-29 12:56:07","1","",
"2016-08-29 12:58:11","0","",
"2016-08-29 13:09:33","0","",
"2016-08-29 13:11:07","1","",
"2016-08-29 13:13:11","0","",
"2016-08-29 13:15:34","1","",
"2016-08-29 13:17:38","0","",
"2016-08-29 13:17:47","1","",
"2016-08-29 13:18:49","1","",
"2016-08-29 13:19:51","1","",
"2016-08-29 13:21:56","0","",
"2016-08-29 13:23:15","1","",
"2016-08-29 13:24:23","1","",
"2016-08-29 13:26:03","1","",
"2016-08-29 13:27:12","1","",
"2016-08-29 13:28:27","1","",
"2016-08-29 13:29:45","1","",
"2016-08-29 13:31:22","1","",
"2016-08-29 13:32:24","1","",
"2016-08-29 13:34:20","1","",
"2016-08-29 13:35:53","1","",
"2016-08-29 13:37:57","0","",
"2016-08-29 13:39:17","1","",
"2016-08-29 13:40:19","1","",
"2016-08-29 13:41:21","1","",
"2016-08-29 13:42:35","1","",
"2016-08-29 13:43:47","1","",
"2016-08-29 13:44:51","1","",
"2016-08-29 13:46:55","0","",
"2016-08-29 13:52:00","1","",
"2016-08-29 13:53:39","1","",
"2016-08-29 13:55:43","0","",
"2016-08-29 13:57:28","1","",
"2016-08-29 13:59:32","0","",
"2016-08-29 14:07:04","1","",
"2016-08-29 14:09:08","0","",
"2016-08-29 14:12:18","1","",
"2016-08-29 14:14:22","0","",
"2016-08-29 14:15:02","1","",
"2016-08-29 14:17:06","0","",
"2016-08-29 14:18:50","1","",
"2016-08-29 14:20:52","1","",
"2016-08-29 14:22:37","1","",
"2016-08-29 14:24:41","0","",
"2016-08-29 14:25:07","1","",
"2016-08-29 14:27:12","0","",
"2016-08-29 14:27:40","1","",
"2016-08-29 14:29:44","0","",
"2016-08-29 14:37:04","1","",
"2016-08-29 14:39:08","0","",
"2016-08-29 14:50:31","0","",
"2016-08-29 14:57:55","1","",
"2016-08-29 14:59:59","0","",
"2016-08-29 15:04:28","1","",
"2016-08-29 15:06:32","0","",
"2016-08-29 15:16:12","1","",
"2016-08-29 15:18:16","0","",
"2016-08-29 15:27:47","1","",
"2016-08-29 15:29:51","0","",
"2016-08-29 15:41:14","0","",
"2016-08-29 15:52:36","0","",
"2016-08-29 16:03:58","0","",
"2016-08-29 16:15:21","0","",
"2016-08-29 16:26:43","0","",
"2016-08-29 16:37:35","1","",
"2016-08-29 16:39:39","0","",
"2016-08-29 16:45:25","1","",
"2016-08-29 16:47:29","0","",
"2016-08-29 16:53:11","1","",
"2016-08-29 16:54:33","1","",
"2016-08-29 16:55:37","1","",
"2016-08-29 16:57:41","0","",
"2016-08-29 17:09:03","0","",
"2016-08-29 17:17:27","1","",
"2016-08-29 17:18:29","1","",
"2016-08-29 17:20:10","1","",
"2016-08-29 17:22:14","0","",
"2016-08-29 17:33:37","0","",
"2016-08-29 17:44:59","0","",
"2016-08-29 17:56:22","0","",
"2016-08-29 18:06:21","1","",
"2016-08-29 18:08:25","0","",
"2016-08-29 18:08:47","1","",
"2016-08-29 18:10:51","0","",
"2016-08-29 18:17:25","1","",
"2016-08-29 18:19:29","0","",
"2016-08-29 18:19:43","1","",
"2016-08-29 18:21:47","0","",
"2016-08-29 18:28:45","1","",
"2016-08-29 18:30:49","0","",
"2016-08-29 18:30:57","1","",
"2016-08-29 18:33:01","0","",
"2016-08-29 18:44:23","0","",
"2016-08-29 18:52:10","1","",
"2016-08-29 18:53:12","1","",
"2016-08-29 18:54:15","1","",
"2016-08-29 18:56:19","0","",
"2016-08-29 19:07:41","0","",
"2016-08-29 19:13:20","1","",
"2016-08-29 19:15:24","0","",
"2016-08-29 19:18:58","1","",
"2016-08-29 19:21:02","0","",
"2016-08-29 19:24:36","1","",
"2016-08-29 19:26:40","0","",
"2016-08-29 19:31:27","1","",
"2016-08-29 19:33:00","1","",
"2016-08-29 19:35:04","0","",
"2016-08-29 19:35:37","1","",
"2016-08-29 19:37:36","1","",
"2016-08-29 19:39:40","0","",
"2016-08-29 19:39:48","1","",
"2016-08-29 19:41:52","0","",
"2016-08-29 19:46:44","1","",
"2016-08-29 19:48:48","0","",
"2016-08-29 20:00:11","0","",
"2016-08-29 20:06:48","1","",
"2016-08-29 20:08:52","0","",
"2016-08-29 20:19:18","1","",
"2016-08-29 20:21:22","0","",
"2016-08-29 20:21:26","1","",
"2016-08-29 20:23:30","0","",
"2016-08-29 20:26:47","1","",
"2016-08-29 20:28:51","0","",
"2016-08-29 20:30:14","1","",
"2016-08-29 20:32:15","1","",
"2016-08-29 20:34:19","0","",
"2016-08-29 20:45:42","0","",
"2016-08-29 20:57:04","0","",
"2016-08-29 21:03:14","1","",
"2016-08-29 21:05:19","0","",
"2016-08-29 21:09:25","1","",
"2016-08-29 21:11:29","0","",
"2016-08-29 21:22:52","0","",
"2016-08-29 21:31:10","1","",
"2016-08-29 21:33:14","0","",
"2016-08-29 21:33:34","1","",
"2016-08-29 21:35:38","0","",
"2016-08-29 21:36:11","1","",
"2016-08-29 21:38:15","0","",
"2016-08-29 21:44:15","1","",
"2016-08-29 21:46:19","0","",
"2016-08-29 21:49:19","1","",
"2016-08-29 21:51:23","0","",
"2016-08-29 21:51:51","1","",
"2016-08-29 21:53:55","0","",
"2016-08-29 22:02:49","1","",
"2016-08-29 22:04:37","1","",
"2016-08-29 22:06:41","0","",
"2016-08-29 22:12:49","1","",
"2016-08-29 22:14:12","1","",
"2016-08-29 22:16:16","0","",
"2016-08-29 22:16:50","1","",
"2016-08-29 22:20:33","0","",
"2016-08-29 22:23:58","1","",
"2016-08-29 22:25:02","1","",
"2016-08-29 22:27:06","0","",
"2016-08-29 22:38:28","0","",
"2016-08-29 22:49:51","0","",
"2016-08-29 23:01:13","0","",
"2016-08-29 23:05:52","1","",
"2016-08-29 23:07:56","0","",
"2016-08-29 23:12:22","1","",
"2016-08-29 23:14:27","0","",
"2016-08-29 23:25:49","0","",
"2016-08-29 23:28:11","1","",
"2016-08-29 23:30:15","0","",
"2016-08-29 23:32:02","1","",
"2016-08-29 23:34:06","0","",
"2016-08-29 23:46:09","0","",
"2016-08-29 23:47:23","1","",
"2016-08-29 23:49:27","0","",
"2016-08-29 23:58:13","1","",
"2016-08-30 00:00:17","0","",
"2016-08-30 00:11:39","0","",
"2016-08-30 00:23:02","0","",
"2016-08-30 00:34:25","0","",
"2016-08-30 00:45:47","0","",
"2016-08-30 00:57:10","0","",
"2016-08-30 01:08:32","0","",
"2016-08-30 01:19:55","0","",
"2016-08-30 01:31:17","0","",
"2016-08-30 01:42:40","0","",
"2016-08-30 01:54:03","0","",
"2016-08-30 02:05:25","0","",
"2016-08-30 02:16:47","0","",
"2016-08-30 02:28:10","0","",
"2016-08-30 02:39:32","0","",
"2016-08-30 02:50:55","0","",
"2016-08-30 03:02:17","0","",
"2016-08-30 03:13:40","0","",
"2016-08-30 03:25:02","0","",
"2016-08-30 03:36:25","0","",
"2016-08-30 03:47:47","0","",
"2016-08-30 03:59:09","0","",
"2016-08-30 04:01:36","1","",
"2016-08-30 04:03:40","0","",
"2016-08-30 04:15:02","0","",
"2016-08-30 04:26:24","0","",
"2016-08-30 04:26:41","1","",
"2016-08-30 04:28:45","0","",
"2016-08-30 04:40:07","0","",
"2016-08-30 04:51:29","0","",
"2016-08-30 05:02:51","0","",
"2016-08-30 05:14:13","0","",
"2016-08-30 05:25:36","0","",
"2016-08-30 05:36:58","0","",
"2016-08-30 05:48:20","0","",
"2016-08-30 05:59:42","0","",
"2016-08-30 06:11:05","0","",
"2016-08-30 06:22:27","0","",
"2016-08-30 06:33:49","0","",
"2016-08-30 06:35:33","1","",
"2016-08-30 06:37:37","0","",
"2016-08-30 06:48:59","0","",
"2016-08-30 06:53:38","1","",
"2016-08-30 06:55:42","0","",
"2016-08-30 07:01:15","1","",
"2016-08-30 07:03:19","0","",
"2016-08-30 07:14:41","0","",
"2016-08-30 07:26:04","0","",
"2016-08-30 07:31:08","1","",
"2016-08-30 07:33:12","0","",
