"DateAndTime","OS_Corr130A (Bloomberg-1 West-Corridor 130) Occupancy","",
"2016-08-30 15:45:41","0","",
"2016-08-30 16:45:52","0","",
"2016-08-30 17:46:03","0","",
"2016-08-30 18:46:14","0","",
"2016-08-30 19:46:24","0","",
"2016-08-30 19:53:14","1","",
"2016-08-30 20:03:19","0","",
"2016-08-30 20:23:22","0","",
"2016-08-30 21:23:32","0","",
"2016-08-30 21:56:44","1","",
"2016-08-30 22:06:47","0","",
"2016-08-30 22:26:50","0","",
"2016-08-30 23:27:01","0","",
"2016-08-30 23:31:20","1","",
"2016-08-30 23:41:24","0","",
"2016-08-31 00:01:27","0","",
"2016-08-31 00:06:46","1","",
"2016-08-31 00:16:50","0","",
"2016-08-31 00:36:54","0","",
"2016-08-31 01:10:01","1","",
"2016-08-31 01:20:05","0","",
"2016-08-31 01:40:08","0","",
"2016-08-31 02:40:19","0","",
"2016-08-31 03:40:30","0","",
"2016-08-31 04:40:40","0","",
"2016-08-31 05:40:50","0","",
"2016-08-31 06:41:01","0","",
"2016-08-31 07:41:10","0","",
"2016-08-31 08:01:35","1","",
"2016-08-31 08:11:39","0","",
"2016-08-31 08:31:42","0","",
"2016-08-31 09:10:22","1","",
"2016-08-31 09:20:26","0","",
"2016-08-31 09:40:30","0","",
"2016-08-31 09:42:52","1","",
"2016-08-31 09:52:56","0","",
"2016-08-31 10:12:59","0","",
"2016-08-31 10:26:31","1","",
"2016-08-31 10:36:35","0","",
"2016-08-31 10:45:23","1","",
"2016-08-31 10:49:26","1","",
"2016-08-31 10:51:56","1","",
"2016-08-31 10:54:39","1","",
"2016-08-31 11:04:43","0","",
"2016-08-31 11:24:46","0","",
"2016-08-31 11:32:29","1","",
"2016-08-31 11:42:33","0","",
"2016-08-31 12:02:36","0","",
"2016-08-31 12:46:36","1","",
"2016-08-31 12:55:19","1","",
"2016-08-31 13:05:22","0","",
"2016-08-31 13:19:06","1","",
"2016-08-31 13:21:27","1","",
"2016-08-31 13:25:35","1","",
"2016-08-31 13:28:17","1","",
"2016-08-31 13:31:18","1","",
"2016-08-31 13:34:23","1","",
"2016-08-31 13:36:27","1","",
"2016-08-31 13:38:28","1","",
"2016-08-31 13:40:29","1","",
"2016-08-31 13:42:29","1","",
"2016-08-31 13:44:31","1","",
"2016-08-31 13:47:57","1","",
"2016-08-31 13:49:58","1","",
"2016-08-31 13:51:59","1","",
"2016-08-31 14:02:02","0","",
"2016-08-31 14:22:05","0","",
"2016-08-31 15:22:15","0","",
"2016-08-31 16:22:24","0","",
"2016-08-31 17:22:33","0","",
"2016-08-31 18:22:41","0","",
"2016-08-31 19:22:51","0","",
"2016-08-31 20:23:00","0","",
"2016-08-31 21:23:10","0","",
"2016-08-31 22:23:18","0","",
"2016-08-31 23:23:27","0","",
"2016-09-01 00:23:35","0","",
"2016-09-01 01:23:43","0","",
"2016-09-01 02:23:51","0","",
"2016-09-01 03:24:00","0","",
"2016-09-01 04:24:08","0","",
"2016-09-01 05:24:17","0","",
"2016-09-01 06:24:27","0","",
"2016-09-01 07:24:36","0","",
"2016-09-01 08:11:23","1","",
"2016-09-01 08:21:27","0","",
"2016-09-01 08:41:30","0","",
"2016-09-01 08:54:17","1","",
"2016-09-01 09:04:20","0","",
"2016-09-01 09:24:23","0","",
"2016-09-01 10:24:32","0","",
"2016-09-01 11:24:40","0","",
"2016-09-01 12:24:49","0","",
"2016-09-01 12:35:53","1","",
"2016-09-01 12:42:10","1","",
"2016-09-01 12:47:36","1","",
"2016-09-01 12:57:39","0","",
"2016-09-01 13:17:42","0","",
"2016-09-01 14:17:51","0","",
"2016-09-01 14:25:30","1","",
"2016-09-01 14:35:34","0","",
"2016-09-01 14:55:37","0","",
"2016-09-01 15:55:46","0","",
"2016-09-01 16:55:55","0","",
"2016-09-01 17:33:54","1","",
"2016-09-01 17:43:57","0","",
"2016-09-01 18:04:00","0","",
"2016-09-01 19:04:09","0","",
"2016-09-01 20:04:18","0","",
"2016-09-01 21:04:26","0","",
"2016-09-01 22:04:35","0","",
"2016-09-01 23:04:43","0","",
"2016-09-02 00:04:51","0","",
"2016-09-02 01:04:59","0","",
"2016-09-02 02:05:07","0","",
"2016-09-02 03:05:15","0","",
"2016-09-02 04:05:23","0","",
"2016-09-02 05:05:31","0","",
"2016-09-02 06:05:38","0","",
"2016-09-02 07:05:44","0","",
"2016-09-02 08:05:51","0","",
"2016-09-02 08:46:14","1","",
"2016-09-02 08:56:17","0","",
"2016-09-02 09:16:19","0","",
"2016-09-02 10:16:28","0","",
"2016-09-02 10:29:02","1","",
"2016-09-02 10:39:05","0","",
"2016-09-02 10:46:36","1","",
"2016-09-02 10:56:32","1","",
"2016-09-02 10:59:52","1","",
"2016-09-02 11:03:42","1","",
"2016-09-02 11:08:34","1","",
"2016-09-02 11:11:05","1","",
"2016-09-02 11:13:51","1","",
"2016-09-02 11:23:55","0","",
"2016-09-02 11:43:17","1","",
"2016-09-02 11:53:20","0","",
"2016-09-02 11:59:24","1","",
"2016-09-02 12:09:27","0","",
"2016-09-02 12:14:24","1","",
"2016-09-02 12:24:28","0","",
"2016-09-02 12:26:08","1","",
"2016-09-02 12:36:11","0","",
"2016-09-02 12:51:27","1","",
"2016-09-02 13:01:30","0","",
"2016-09-02 13:21:33","0","",
"2016-09-02 14:21:41","0","",
"2016-09-02 15:21:49","0","",
"2016-09-02 16:21:56","0","",
"2016-09-02 17:22:03","0","",
"2016-09-02 17:29:37","1","",
"2016-09-02 17:32:48","1","",
"2016-09-02 17:36:08","1","",
"2016-09-02 17:46:11","0","",
"2016-09-02 18:06:13","0","",
"2016-09-02 18:20:21","1","",
"2016-09-02 18:30:24","0","",
"2016-09-02 18:50:26","0","",
