"DateAndTime","OS_bloom-hall131 (Bloomberg-1 West-Hall 131) Occupancy","",
"2016-08-29 18:50:57","1","",
"2016-08-29 18:52:51","0","",
"2016-08-29 19:03:19","0","",
"2016-08-29 19:13:47","0","",
"2016-08-29 19:24:16","0","",
"2016-08-29 19:34:44","0","",
"2016-08-29 19:45:12","0","",
"2016-08-29 19:55:40","0","",
"2016-08-29 20:06:07","0","",
"2016-08-29 20:16:35","0","",
"2016-08-29 20:27:02","0","",
"2016-08-29 20:37:30","0","",
"2016-08-29 20:47:58","0","",
"2016-08-29 20:58:27","0","",
"2016-08-29 21:08:54","0","",
"2016-08-29 21:19:23","0","",
"2016-08-29 21:28:55","1","",
"2016-08-29 21:30:49","0","",
"2016-08-29 21:41:18","0","",
"2016-08-29 21:51:46","0","",
"2016-08-29 22:02:15","0","",
"2016-08-29 22:12:44","0","",
"2016-08-29 22:23:13","0","",
"2016-08-29 22:33:42","0","",
"2016-08-29 22:44:10","0","",
"2016-08-29 22:54:38","0","",
"2016-08-29 23:05:05","0","",
"2016-08-29 23:15:32","0","",
"2016-08-29 23:26:00","0","",
"2016-08-29 23:36:29","0","",
"2016-08-29 23:46:57","0","",
"2016-08-29 23:57:25","0","",
"2016-08-30 00:07:54","0","",
"2016-08-30 00:18:23","0","",
"2016-08-30 00:28:51","0","",
"2016-08-30 00:39:18","0","",
"2016-08-30 00:49:46","0","",
"2016-08-30 01:00:14","0","",
"2016-08-30 01:10:42","0","",
"2016-08-30 01:21:10","0","",
"2016-08-30 01:31:38","0","",
"2016-08-30 01:42:06","0","",
"2016-08-30 01:52:35","0","",
"2016-08-30 02:03:03","0","",
"2016-08-30 02:13:32","0","",
"2016-08-30 02:24:00","0","",
"2016-08-30 02:34:29","0","",
"2016-08-30 02:44:58","0","",
"2016-08-30 02:55:26","0","",
"2016-08-30 03:05:54","0","",
"2016-08-30 03:16:22","0","",
"2016-08-30 03:26:51","0","",
"2016-08-30 03:37:19","0","",
"2016-08-30 03:47:48","0","",
"2016-08-30 03:58:16","0","",
"2016-08-30 04:08:45","0","",
"2016-08-30 04:19:14","0","",
"2016-08-30 04:29:43","0","",
"2016-08-30 04:40:11","0","",
"2016-08-30 04:50:40","0","",
"2016-08-30 05:01:08","0","",
"2016-08-30 05:11:37","0","",
"2016-08-30 05:22:05","0","",
"2016-08-30 05:32:33","0","",
"2016-08-30 05:43:01","0","",
"2016-08-30 05:53:30","0","",
"2016-08-30 06:03:57","0","",
"2016-08-30 06:14:25","0","",
"2016-08-30 06:24:54","0","",
"2016-08-30 06:35:22","0","",
"2016-08-30 06:45:51","0","",
"2016-08-30 06:56:19","0","",
"2016-08-30 06:59:00","1","",
"2016-08-30 07:00:54","0","",
"2016-08-30 07:11:22","0","",
"2016-08-30 07:21:51","0","",
"2016-08-30 07:32:20","0","",
"2016-08-30 07:42:48","0","",
"2016-08-30 07:53:16","0","",
"2016-08-30 08:03:44","0","",
"2016-08-30 08:14:13","0","",
"2016-08-30 08:24:40","0","",
"2016-08-30 08:35:07","0","",
"2016-08-30 08:45:35","0","",
"2016-08-30 08:56:03","0","",
"2016-08-30 09:06:31","0","",
"2016-08-30 09:16:59","0","",
"2016-08-30 09:27:28","0","",
"2016-08-30 09:37:57","0","",
"2016-08-30 09:48:25","0","",
"2016-08-30 09:58:54","0","",
"2016-08-30 10:09:23","0","",
"2016-08-30 10:19:51","0","",
"2016-08-30 10:30:20","0","",
"2016-08-30 10:40:48","0","",
"2016-08-30 10:51:16","0","",
"2016-08-30 11:01:44","0","",
"2016-08-30 11:04:08","1","",
"2016-08-30 11:06:03","0","",
"2016-08-30 11:16:31","0","",
"2016-08-30 11:20:47","1","",
"2016-08-30 11:22:41","0","",
"2016-08-30 11:33:09","0","",
"2016-08-30 11:43:38","0","",
"2016-08-30 11:54:07","0","",
"2016-08-30 12:04:36","0","",
"2016-08-30 12:15:05","0","",
"2016-08-30 12:25:35","0","",
"2016-08-30 12:36:04","0","",
"2016-08-30 12:46:33","0","",
"2016-08-30 12:57:01","0","",
"2016-08-30 13:07:29","0","",
"2016-08-30 13:10:38","1","",
"2016-08-30 13:12:32","0","",
"2016-08-30 13:23:00","0","",
"2016-08-30 13:33:28","0","",
"2016-08-30 13:43:57","0","",
"2016-08-30 13:54:26","0","",
"2016-08-30 14:04:54","0","",
"2016-08-30 14:15:22","0","",
"2016-08-30 14:25:50","0","",
"2016-08-30 14:36:18","0","",
"2016-08-30 14:46:46","0","",
"2016-08-30 14:57:14","0","",
"2016-08-30 15:07:41","0","",
"2016-08-30 15:18:09","0","",
"2016-08-30 15:28:37","0","",
"2016-08-30 15:39:03","0","",
"2016-08-30 15:49:31","0","",
"2016-08-30 15:59:57","0","",
"2016-08-30 16:10:24","0","",
"2016-08-30 16:20:52","0","",
"2016-08-30 16:31:19","0","",
"2016-08-30 16:41:47","0","",
"2016-08-30 16:52:15","0","",
"2016-08-30 17:02:43","0","",
"2016-08-30 17:13:10","0","",
"2016-08-30 17:23:37","0","",
"2016-08-30 17:34:04","0","",
"2016-08-30 17:44:32","0","",
"2016-08-30 17:55:00","0","",
"2016-08-30 18:05:27","0","",
"2016-08-30 18:15:53","0","",
"2016-08-30 18:26:20","0","",
"2016-08-30 18:36:48","0","",
"2016-08-30 18:47:15","0","",
"2016-08-30 18:57:42","0","",
"2016-08-30 19:08:08","0","",
"2016-08-30 19:18:35","0","",
"2016-08-30 19:29:02","0","",
"2016-08-30 19:39:29","0","",
"2016-08-30 19:49:56","0","",
"2016-08-30 19:53:13","1","",
"2016-08-30 19:55:07","0","",
"2016-08-30 20:05:35","0","",
"2016-08-30 20:16:01","0","",
"2016-08-30 20:26:28","0","",
"2016-08-30 20:36:55","0","",
"2016-08-30 20:47:22","0","",
"2016-08-30 20:57:49","0","",
"2016-08-30 21:08:15","0","",
"2016-08-30 21:18:42","0","",
"2016-08-30 21:29:09","0","",
"2016-08-30 21:39:36","0","",
"2016-08-30 21:50:03","0","",
"2016-08-30 22:00:30","0","",
"2016-08-30 22:10:57","0","",
"2016-08-30 22:21:24","0","",
"2016-08-30 22:31:51","0","",
"2016-08-30 22:42:18","0","",
"2016-08-30 22:52:45","0","",
"2016-08-30 23:03:13","0","",
"2016-08-30 23:13:41","0","",
"2016-08-30 23:24:08","0","",
"2016-08-30 23:34:35","0","",
"2016-08-30 23:45:02","0","",
"2016-08-30 23:55:29","0","",
"2016-08-31 00:05:55","0","",
"2016-08-31 00:06:36","1","",
"2016-08-31 00:08:31","0","",
"2016-08-31 00:18:57","0","",
"2016-08-31 00:29:24","0","",
"2016-08-31 00:39:52","0","",
"2016-08-31 00:50:19","0","",
"2016-08-31 01:00:46","0","",
"2016-08-31 01:11:13","0","",
"2016-08-31 01:21:41","0","",
"2016-08-31 01:32:10","0","",
"2016-08-31 01:42:39","0","",
"2016-08-31 01:53:07","0","",
"2016-08-31 02:03:36","0","",
"2016-08-31 02:14:05","0","",
"2016-08-31 02:24:33","0","",
"2016-08-31 02:35:01","0","",
"2016-08-31 02:45:28","0","",
"2016-08-31 02:55:56","0","",
"2016-08-31 03:06:25","0","",
"2016-08-31 03:16:53","0","",
"2016-08-31 03:27:22","0","",
"2016-08-31 03:37:52","0","",
"2016-08-31 03:48:22","0","",
"2016-08-31 03:58:51","0","",
"2016-08-31 04:09:20","0","",
"2016-08-31 04:19:48","0","",
"2016-08-31 04:30:16","0","",
"2016-08-31 04:40:44","0","",
"2016-08-31 04:51:12","0","",
"2016-08-31 05:01:39","0","",
"2016-08-31 05:12:07","0","",
"2016-08-31 05:22:36","0","",
"2016-08-31 05:33:05","0","",
"2016-08-31 05:43:33","0","",
"2016-08-31 05:54:01","0","",
"2016-08-31 06:04:30","0","",
"2016-08-31 06:14:57","0","",
"2016-08-31 06:25:26","0","",
"2016-08-31 06:35:53","0","",
"2016-08-31 06:46:22","0","",
"2016-08-31 06:56:51","0","",
"2016-08-31 07:07:18","0","",
"2016-08-31 07:17:47","0","",
"2016-08-31 07:28:15","0","",
"2016-08-31 07:38:43","0","",
"2016-08-31 07:49:12","0","",
"2016-08-31 07:59:40","0","",
"2016-08-31 08:00:28","1","",
"2016-08-31 08:01:38","1","",
"2016-08-31 08:03:32","0","",
"2016-08-31 08:14:01","0","",
"2016-08-31 08:24:29","0","",
"2016-08-31 08:34:57","0","",
"2016-08-31 08:45:24","0","",
"2016-08-31 08:55:52","0","",
"2016-08-31 09:06:20","0","",
"2016-08-31 09:16:49","0","",
"2016-08-31 09:27:17","0","",
"2016-08-31 09:37:46","0","",
"2016-08-31 09:42:52","1","",
"2016-08-31 09:44:46","0","",
"2016-08-31 09:55:14","0","",
"2016-08-31 10:05:42","0","",
"2016-08-31 10:16:10","0","",
"2016-08-31 10:26:30","1","",
"2016-08-31 10:27:29","1","",
"2016-08-31 10:28:26","1","",
"2016-08-31 10:29:24","1","",
"2016-08-31 10:30:21","1","",
"2016-08-31 10:32:15","0","",
"2016-08-31 10:34:13","1","",
"2016-08-31 10:35:10","1","",
"2016-08-31 10:37:04","0","",
"2016-08-31 10:37:15","1","",
"2016-08-31 10:38:13","1","",
"2016-08-31 10:39:10","1","",
"2016-08-31 10:40:07","1","",
"2016-08-31 10:41:06","1","",
"2016-08-31 10:42:36","1","",
"2016-08-31 10:43:33","1","",
"2016-08-31 10:44:30","1","",
"2016-08-31 10:45:30","1","",
"2016-08-31 10:46:27","1","",
"2016-08-31 10:47:24","1","",
"2016-08-31 10:48:22","1","",
"2016-08-31 10:49:21","1","",
"2016-08-31 10:50:48","1","",
"2016-08-31 10:51:45","1","",
"2016-08-31 10:53:04","1","",
"2016-08-31 10:54:02","1","",
"2016-08-31 10:55:56","0","",
"2016-08-31 10:56:31","1","",
"2016-08-31 10:57:41","1","",
"2016-08-31 10:58:55","1","",
"2016-08-31 10:59:59","1","",
"2016-08-31 11:01:53","0","",
"2016-08-31 11:12:21","0","",
