"DateAndTime","OS_Hall121 (Bloomberg-1 West-Hall 121) Occupancy","",
"2016-08-29 16:09:59","1","",
"2016-08-29 16:11:54","0","",
"2016-08-29 16:12:36","1","",
"2016-08-29 16:13:54","1","",
"2016-08-29 16:15:49","0","",
"2016-08-29 16:17:37","1","",
"2016-08-29 16:19:32","0","",
"2016-08-29 16:20:17","1","",
"2016-08-29 16:21:40","1","",
"2016-08-29 16:22:41","1","",
"2016-08-29 16:24:35","0","",
"2016-08-29 16:38:52","1","",
"2016-08-29 16:40:47","0","",
"2016-08-29 16:41:28","1","",
"2016-08-29 16:42:27","1","",
"2016-08-29 16:44:10","1","",
"2016-08-29 16:46:05","0","",
"2016-08-29 16:53:31","1","",
"2016-08-29 16:55:25","0","",
"2016-08-29 17:05:56","0","",
"2016-08-29 17:06:29","1","",
"2016-08-29 17:08:24","0","",
"2016-08-29 17:09:22","1","",
"2016-08-29 17:11:06","1","",
"2016-08-29 17:13:00","0","",
"2016-08-29 17:14:53","1","",
"2016-08-29 17:16:48","0","",
"2016-08-29 17:17:17","1","",
"2016-08-29 17:18:17","1","",
"2016-08-29 17:20:12","0","",
"2016-08-29 17:30:43","0","",
"2016-08-29 17:41:14","0","",
"2016-08-29 17:53:52","1","",
"2016-08-29 17:55:10","1","",
"2016-08-29 17:56:13","1","",
"2016-08-29 17:57:48","1","",
"2016-08-29 17:59:16","1","",
"2016-08-29 18:01:10","0","",
"2016-08-29 18:01:21","1","",
"2016-08-29 18:03:16","0","",
"2016-08-29 18:13:47","0","",
"2016-08-29 18:24:18","0","",
"2016-08-29 18:33:20","1","",
"2016-08-29 18:34:26","1","",
"2016-08-29 18:36:21","0","",
"2016-08-29 18:36:23","1","",
"2016-08-29 18:38:18","0","",
"2016-08-29 18:48:49","0","",
"2016-08-29 18:59:20","0","",
"2016-08-29 19:09:51","0","",
"2016-08-29 19:14:43","1","",
"2016-08-29 19:16:38","0","",
"2016-08-29 19:27:09","0","",
"2016-08-29 19:36:01","1","",
"2016-08-29 19:37:56","0","",
"2016-08-29 19:38:18","1","",
"2016-08-29 19:40:13","0","",
"2016-08-29 19:50:44","0","",
"2016-08-29 19:53:23","1","",
"2016-08-29 19:54:36","1","",
"2016-08-29 19:56:30","0","",
"2016-08-29 19:56:34","1","",
"2016-08-29 19:57:43","1","",
"2016-08-29 19:58:53","1","",
"2016-08-29 19:59:51","1","",
"2016-08-29 20:00:51","1","",
"2016-08-29 20:01:49","1","",
"2016-08-29 20:03:44","0","",
"2016-08-29 20:14:14","0","",
"2016-08-29 20:24:45","0","",
"2016-08-29 20:35:15","0","",
"2016-08-29 20:45:46","0","",
"2016-08-29 20:56:16","0","",
"2016-08-29 21:06:46","0","",
"2016-08-29 21:17:16","0","",
"2016-08-29 21:27:46","0","",
"2016-08-29 21:29:14","1","",
"2016-08-29 21:30:21","1","",
