"DateAndTime","OS_Corr357 (Bloomberg-3-corridor 300E) Occupancy","",
"2016-10-05 16:22:31","1","",
"2016-10-05 16:24:34","0","",
"2016-10-05 16:25:37","1","",
"2016-10-05 16:27:11","1","",
"2016-10-05 16:28:21","1","",
"2016-10-05 16:30:05","1","",
"2016-10-05 16:31:37","1","",
"2016-10-05 16:33:00","1","",
"2016-10-05 16:34:40","1","",
"2016-10-05 16:36:44","0","",
"2016-10-05 16:42:37","1","",
"2016-10-05 16:44:01","1","",
"2016-10-05 16:45:05","1","",
"2016-10-05 16:46:29","1","",
"2016-10-05 16:48:33","0","",
"2016-10-05 16:49:24","1","",
"2016-10-05 16:50:33","1","",
"2016-10-05 16:51:57","1","",
"2016-10-05 16:54:00","0","",
"2016-10-05 16:55:11","1","",
"2016-10-05 16:57:14","0","",
"2016-10-05 16:58:18","1","",
"2016-10-05 17:00:21","0","",
"2016-10-05 17:02:26","1","",
"2016-10-05 17:06:17","1","",
"2016-10-05 17:08:21","0","",
"2016-10-05 17:12:39","1","",
"2016-10-05 17:14:42","0","",
"2016-10-05 17:15:15","1","",
"2016-10-05 17:16:49","1","",
"2016-10-05 17:18:53","0","",
"2016-10-05 17:20:07","1","",
"2016-10-05 17:22:11","0","",
"2016-10-05 17:24:37","1","",
"2016-10-05 17:26:40","0","",
"2016-10-05 17:29:53","1","",
"2016-10-05 17:31:57","0","",
"2016-10-05 17:32:38","1","",
"2016-10-05 17:34:42","0","",
"2016-10-05 17:35:22","1","",
"2016-10-05 17:37:26","0","",
"2016-10-05 17:38:20","1","",
"2016-10-05 17:39:52","1","",
"2016-10-05 17:41:56","0","",
"2016-10-05 17:42:54","1","",
"2016-10-05 17:44:58","0","",
"2016-10-05 17:45:47","1","",
"2016-10-05 17:47:29","1","",
"2016-10-05 17:48:44","1","",
"2016-10-05 17:50:38","1","",
"2016-10-05 17:52:09","1","",
"2016-10-05 17:53:13","1","",
"2016-10-05 17:55:07","1","",
"2016-10-05 17:57:11","0","",
"2016-10-05 17:59:09","1","",
"2016-10-05 18:00:26","1","",
"2016-10-05 18:02:30","0","",
"2016-10-05 18:03:53","1","",
"2016-10-05 18:05:57","0","",
"2016-10-05 18:07:00","1","",
"2016-10-05 18:09:04","0","",
"2016-10-05 18:13:01","1","",
"2016-10-05 18:15:05","0","",
"2016-10-05 18:20:29","1","",
"2016-10-05 18:22:29","1","",
"2016-10-05 18:24:33","0","",
"2016-10-05 18:25:47","1","",
"2016-10-05 18:27:02","1","",
"2016-10-05 18:28:44","1","",
"2016-10-05 18:30:48","0","",
"2016-10-05 18:33:20","1","",
"2016-10-05 18:35:09","1","",
"2016-10-05 18:37:13","0","",
"2016-10-05 18:37:30","1","",
"2016-10-05 18:39:34","0","",
"2016-10-05 18:40:02","1","",
"2016-10-05 18:41:57","1","",
"2016-10-05 18:43:24","1","",
"2016-10-05 18:45:28","0","",
"2016-10-05 18:46:30","1","",
"2016-10-05 18:48:34","0","",
"2016-10-05 18:53:23","1","",
"2016-10-05 18:54:25","1","",
"2016-10-05 18:56:29","0","",
"2016-10-05 18:56:47","1","",
"2016-10-05 18:58:51","0","",
"2016-10-05 19:03:18","1","",
"2016-10-05 19:04:49","1","",
"2016-10-05 19:06:52","0","",
"2016-10-05 19:08:09","1","",
"2016-10-05 19:10:13","0","",
"2016-10-05 19:13:44","1","",
"2016-10-05 19:14:51","1","",
"2016-10-05 19:16:45","1","",
"2016-10-05 19:17:58","1","",
"2016-10-05 19:19:34","1","",
"2016-10-05 19:21:37","0","",
"2016-10-05 19:23:32","1","",
"2016-10-05 19:24:35","1","",
"2016-10-05 19:26:39","0","",
"2016-10-05 19:34:20","1","",
"2016-10-05 19:36:23","0","",
"2016-10-05 19:36:26","1","",
"2016-10-05 19:38:30","0","",
"2016-10-05 19:43:24","1","",
"2016-10-05 19:45:28","0","",
"2016-10-05 19:48:48","1","",
"2016-10-05 19:50:52","0","",
"2016-10-05 19:55:43","1","",
"2016-10-05 19:57:46","0","",
"2016-10-05 19:59:57","1","",
"2016-10-05 20:01:42","1","",
"2016-10-05 20:03:45","0","",
"2016-10-05 20:06:52","1","",
"2016-10-05 20:08:56","0","",
"2016-10-05 20:09:19","1","",
"2016-10-05 20:10:22","1","",
"2016-10-05 20:11:51","1","",
"2016-10-05 20:13:55","0","",
"2016-10-05 20:15:46","1","",
"2016-10-05 20:17:50","0","",
"2016-10-05 20:19:12","1","",
"2016-10-05 20:21:16","0","",
